date,time,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil,label,type
31-Mar-19, 12:36:55 ,53287,1463,33518,23014,0,normal
31-Mar-19, 12:36:58 ,41029,55891,26004,50645,0,normal
31-Mar-19,12:36:58,41029,55891,26004,50645,0,normal
31-Mar-19,12:37:00,64661,40232,33460,44046,0,normal
31-Mar-19,12:37:01,64661,40232,33460,44046,0,normal
31-Mar-19, 12:37:03 ,15879,49034,60505,8898,0,normal
31-Mar-19,12:37:03,15879,49034,60505,8898,0,normal
31-Mar-19, 12:37:05 ,38175,40957,52382,216,0,normal
31-Mar-19,12:37:06,64129,48498,34172,14203,0,normal
31-Mar-19, 12:37:07 ,36462,11788,4504,55448,0,normal
31-Mar-19, 12:37:07 ,64129,48498,34172,14203,0,normal
31-Mar-19,12:37:08,36462,11788,4504,55448,0,normal
31-Mar-19, 12:37:09 ,18658,9955,53189,2021,0,normal
31-Mar-19, 12:37:11 ,40335,52379,19963,1888,0,normal
31-Mar-19,12:37:11,40335,52379,19963,1888,0,normal
31-Mar-19,12:37:12,40335,52379,19963,1888,0,normal
31-Mar-19, 12:37:14 ,20425,56837,7202,24043,0,normal
31-Mar-19,12:37:14,44745,46290,27921,12231,0,normal
31-Mar-19,12:37:16,50390,64649,2846,23157,0,normal
31-Mar-19, 12:37:17 ,0,0,0,0,0,normal
31-Mar-19, 12:37:17 ,49399,19795,25455,57773,0,normal
31-Mar-19,12:37:17,64359,38409,15345,12604,0,normal
31-Mar-19,12:37:18,64302,37407,56337,48362,0,normal
31-Mar-19,12:37:20,22626,15622,52695,18531,0,normal
31-Mar-19,12:37:20,35737,51158,64173,18638,0,normal
31-Mar-19,12:37:21,26043,23325,56156,11842,0,normal
31-Mar-19,12:37:23,43659,9692,18752,38938,0,normal
31-Mar-19,12:37:23,55276,8194,44767,43364,0,normal
31-Mar-19, 12:37:24 ,27290,22023,5709,10135,0,normal
31-Mar-19, 12:37:24 ,55276,8194,44767,43364,0,normal
31-Mar-19, 12:37:25 ,31474,43677,16010,281,0,normal
31-Mar-19,12:37:25,17378,11774,14740,58619,0,normal
31-Mar-19,12:37:25,26286,56455,21236,51783,0,normal
31-Mar-19, 12:37:26 ,14749,3003,33027,35982,0,normal
31-Mar-19,12:37:27,55602,25415,55353,22846,0,normal
31-Mar-19, 12:37:28 ,11520,28992,55166,27140,0,normal
31-Mar-19,12:37:30,62610,4379,8442,25423,0,normal
31-Mar-19, 12:37:31 ,13622,59455,12529,63919,0,normal
31-Mar-19, 12:37:31 ,16368,35820,41919,40533,0,normal
31-Mar-19, 12:37:32 ,62283,42898,913,43205,0,normal
31-Mar-19, 12:37:33 ,39888,52746,7592,38269,0,normal
31-Mar-19,12:37:33,14475,16814,17193,33378,0,normal
31-Mar-19,12:37:33,29789,31607,31795,58856,0,normal
31-Mar-19,12:37:33,39888,52746,7592,38269,0,normal
31-Mar-19, 12:37:34 ,9696,57089,33832,64684,0,normal
31-Mar-19,12:37:34,35392,60267,306,39911,0,normal
31-Mar-19, 12:37:35 ,35392,60267,306,39911,0,normal
31-Mar-19,12:37:35,34541,38938,46098,33603,0,normal
31-Mar-19, 12:37:37 ,9565,30679,27766,5720,0,normal
31-Mar-19, 12:37:39 ,42480,13601,41491,50524,0,normal
31-Mar-19,12:37:39,17002,20434,10781,46700,0,normal
31-Mar-19,12:37:39,2944,20532,252,31859,0,normal
31-Mar-19, 12:37:40 ,62863,11794,30103,8545,0,normal
31-Mar-19,12:37:40,20231,22988,6740,45111,0,normal
31-Mar-19,12:37:40,2944,20532,252,31859,0,normal
31-Mar-19,12:37:41,27242,4889,30530,5397,0,normal
31-Mar-19,12:37:42,46328,48024,43098,56092,0,normal
31-Mar-19, 12:37:43 ,24544,34616,57623,46700,0,normal
31-Mar-19,12:37:43,22128,62139,9147,54359,0,normal
31-Mar-19, 12:37:44 ,26815,13867,26379,46781,0,normal
31-Mar-19,12:37:44,26815,13867,26379,46781,0,normal
31-Mar-19, 12:37:45 ,28264,48144,1653,11044,0,normal
31-Mar-19, 12:37:45 ,62818,65071,59375,63876,0,normal
31-Mar-19,12:37:47,35329,11109,53555,11695,0,normal
31-Mar-19, 12:37:48 ,13962,25315,45429,58745,0,normal
31-Mar-19, 12:37:50 ,50067,21517,17532,62463,0,normal
31-Mar-19, 12:37:52 ,18062,58956,14517,24613,0,normal
31-Mar-19, 12:37:52 ,2339,65205,58488,30717,0,normal
31-Mar-19, 12:37:53 ,517,48939,47942,62400,0,normal
31-Mar-19,12:37:54,32843,25281,58139,817,0,normal
31-Mar-19, 12:37:55 ,3260,50482,21864,17942,0,normal
31-Mar-19,12:37:55,3260,50482,21864,17942,0,normal
31-Mar-19,12:37:55,36160,28976,52227,41870,0,normal
31-Mar-19, 12:37:56 ,402,50581,2266,47378,0,normal
31-Mar-19, 12:37:57 ,1203,27964,50862,58738,0,normal
31-Mar-19, 12:37:57 ,41898,12439,32537,52506,0,normal
31-Mar-19, 12:37:57 ,55564,24970,56073,12667,0,normal
31-Mar-19,12:37:57,1203,27964,50862,58738,0,normal
31-Mar-19,12:37:57,41898,12439,32537,52506,0,normal
31-Mar-19,12:37:57,55564,24970,56073,12667,0,normal
31-Mar-19,12:37:59,27004,30797,34999,48956,0,normal
31-Mar-19, 12:38:00 ,19217,62776,9899,49772,0,normal
31-Mar-19, 12:38:00 ,55991,49097,55012,4529,0,normal
31-Mar-19,12:38:01,14707,39990,28466,36889,0,normal
31-Mar-19,12:38:01,14840,1324,16502,26329,0,normal
31-Mar-19,12:38:01,63308,34327,11966,43318,0,normal
31-Mar-19,12:38:02,37077,36221,2873,35115,0,normal
31-Mar-19, 12:38:03 ,33384,26011,30178,13372,0,normal
31-Mar-19, 12:38:03 ,5328,64643,24504,61074,0,normal
31-Mar-19,12:38:03,5328,64643,24504,61074,0,normal
31-Mar-19, 12:38:04 ,56072,669,37038,51612,0,normal
31-Mar-19,12:38:04,29164,59674,24810,33092,0,normal
31-Mar-19,12:38:04,545,39152,51102,63409,0,normal
31-Mar-19,12:38:04,56072,669,37038,51612,0,normal
31-Mar-19, 12:38:05 ,545,39152,51102,63409,0,normal
31-Mar-19,12:38:05,36827,56974,61830,61241,0,normal
31-Mar-19,12:38:05,60236,41541,23414,43488,0,normal
31-Mar-19,12:38:05,9139,55931,60847,51392,0,normal
31-Mar-19,12:38:06,0,0,0,0,0,normal
31-Mar-19, 12:38:07 ,0,0,0,0,0,normal
31-Mar-19, 12:38:07 ,29490,9925,22800,64710,0,normal
31-Mar-19, 12:38:07 ,44606,34429,30123,39553,0,normal
31-Mar-19, 12:38:07 ,56522,24542,26646,36936,0,normal
31-Mar-19, 12:38:08 ,30803,49917,25749,27006,0,normal
31-Mar-19, 12:38:08 ,31793,55760,52423,30563,0,normal
31-Mar-19,12:38:08,50508,8264,28906,25223,0,normal
31-Mar-19, 12:38:09 ,940,2092,48029,1092,0,normal
31-Mar-19,12:38:09,30803,49917,25749,27006,0,normal
31-Mar-19,12:38:09,44297,44554,23067,11816,0,normal
31-Mar-19,12:38:09,940,2092,48029,1092,0,normal
31-Mar-19, 12:38:10 ,11196,44504,44518,17433,0,normal
31-Mar-19,12:38:10,41802,7500,60016,46711,0,normal
31-Mar-19,12:38:10,43687,13293,20766,46559,0,normal
31-Mar-19,12:38:10,7364,40968,48952,49746,0,normal
31-Mar-19,12:38:11,61401,41561,25396,40990,0,normal
31-Mar-19, 12:38:12 ,48204,1196,33590,37030,0,normal
31-Mar-19, 12:38:12 ,999,55120,30289,54029,0,normal
31-Mar-19,12:38:12,48204,1196,33590,37030,0,normal
31-Mar-19, 12:38:13 ,18316,31142,50600,62,0,normal
31-Mar-19, 12:38:13 ,42937,30973,18208,37670,0,normal
31-Mar-19,12:38:13,18316,31142,50600,62,0,normal
31-Mar-19,12:38:14,5604,53444,5179,49723,0,normal
31-Mar-19, 12:38:15 ,16169,53226,3977,9782,0,normal
31-Mar-19, 12:38:15 ,16717,49098,19626,26508,0,normal
31-Mar-19, 12:38:15 ,41878,16445,43723,57851,0,normal
31-Mar-19, 12:38:15 ,61581,43770,13804,64278,0,normal
31-Mar-19,12:38:15,41878,16445,43723,57851,0,normal
31-Mar-19,12:38:15,61581,43770,13804,64278,0,normal
31-Mar-19, 12:38:16 ,30353,16363,9334,19975,0,normal
31-Mar-19,12:38:16,6322,13703,26256,26740,0,normal
31-Mar-19,12:38:16,64614,31667,50882,26289,0,normal
31-Mar-19, 12:38:17 ,29128,29484,1962,51185,0,normal
31-Mar-19, 12:38:17 ,32483,42785,671,53221,0,normal
31-Mar-19, 12:38:17 ,43545,46506,58015,5472,0,normal
31-Mar-19, 12:38:17 ,5900,41232,64118,30285,0,normal
31-Mar-19,12:38:17,29128,29484,1962,51185,0,normal
31-Mar-19, 12:38:18 ,31671,30716,45150,10647,0,normal
31-Mar-19, 12:38:18 ,37041,5529,62817,30722,0,normal
31-Mar-19, 12:38:19 ,39508,54308,37707,62855,0,normal
31-Mar-19, 12:38:19 ,60527,21572,53430,37512,0,normal
31-Mar-19,12:38:19,39508,54308,37707,62855,0,normal
31-Mar-19,12:38:19,60527,21572,53430,37512,0,normal
31-Mar-19, 12:38:20 ,32111,62645,34200,58665,0,normal
31-Mar-19, 12:38:20 ,50637,54116,26302,28854,0,normal
31-Mar-19, 12:38:20 ,60527,21572,53430,37512,0,normal
31-Mar-19, 12:38:21 ,31170,40028,48418,55485,0,normal
31-Mar-19, 12:38:21 ,4056,3250,14433,60051,0,normal
31-Mar-19, 12:38:21 ,52067,60723,16060,62529,0,normal
31-Mar-19,12:38:21,32111,62645,34200,58665,0,normal
31-Mar-19,12:38:21,35273,62799,37386,34348,0,normal
31-Mar-19, 12:38:23 ,18875,24460,60632,17616,0,normal
31-Mar-19, 12:38:23 ,52992,30612,36115,36935,0,normal
31-Mar-19, 12:38:23 ,9016,37414,34525,33780,0,normal
31-Mar-19,12:38:23,19162,55372,55710,5457,0,normal
31-Mar-19, 12:38:24 ,61726,15505,37400,39127,0,normal
31-Mar-19, 12:36:53 ,11287,3537,27844,30527,0,normal
31-Mar-19,12:36:54,11287,3537,27844,30527,0,normal
31-Mar-19,12:36:56,53287,1463,33518,23014,0,normal
31-Mar-19,12:37:04,38175,40957,52382,216,0,normal
31-Mar-19,12:37:09,18658,9955,53189,2021,0,normal
31-Mar-19, 12:37:10 ,51268,25552,28376,54634,0,normal
31-Mar-19,12:37:10,22306,62837,53828,18882,0,normal
31-Mar-19,12:37:11,22306,62837,53828,18882,0,normal
31-Mar-19, 12:37:12 ,40335,52379,19963,1888,0,normal
31-Mar-19, 12:37:13 ,20425,56837,7202,24043,0,normal
31-Mar-19,12:37:13,20425,56837,7202,24043,0,normal
31-Mar-19, 12:37:15 ,44745,46290,27921,12231,0,normal
