date,time,current_temperature,thermostat_status,label,type
31-Mar-19,12:36:52,25,0,0,normal
31-Mar-19,12:36:53,25,0,0,normal
31-Mar-19,12:36:54,25,0,0,normal
31-Mar-19,12:36:55,25,0,0,normal
31-Mar-19,12:36:56,25,0,0,normal
31-Mar-19,12:36:57,27.46097199,0,0,normal
31-Mar-19,12:36:58,25,0,0,normal
31-Mar-19,12:36:58,32.9925472,0,0,normal
31-Mar-19,12:36:59,25,0,0,normal
31-Mar-19,12:36:59,34.02200743,0,0,normal
31-Mar-19,12:37:00,25,0,0,normal
31-Mar-19,12:37:00,31.61704579,0,0,normal
31-Mar-19,12:37:01,25,0,0,normal
31-Mar-19,12:37:02,25.65432201,0,0,normal
31-Mar-19,12:37:03,25,0,0,normal
31-Mar-19,12:37:03,27.23531437,1,0,normal
31-Mar-19,12:37:04,25.02520011,0,0,normal
31-Mar-19,12:37:04,25,0,0,normal
31-Mar-19,12:37:04,32.85077247,1,0,normal
31-Mar-19,12:37:05,29.9520054,0,0,normal
31-Mar-19,12:37:05,25,0,0,normal
31-Mar-19,12:37:05,33.89318535,1,0,normal
31-Mar-19,12:37:05,34.30218141,0,0,normal
31-Mar-19,12:37:06,25,0,0,normal
31-Mar-19,12:37:06,31.5872123,1,0,normal
31-Mar-19,12:37:06,34.86571211,0,0,normal
31-Mar-19,12:37:07,25,0,0,normal
31-Mar-19,12:37:07,25,0,0,normal
31-Mar-19,12:37:08,25,0,0,normal
31-Mar-19,12:37:08,33.58991634,0,0,normal
31-Mar-19,12:37:08,27.04274008,1,0,normal
31-Mar-19,12:37:08,25,0,0,normal
31-Mar-19,12:37:09,26.71764414,0,0,normal
31-Mar-19,12:37:09,25,0,0,normal
31-Mar-19,12:37:09,32.40771539,1,0,normal
31-Mar-19,12:37:09,29.52796568,1,0,normal
31-Mar-19,12:37:10,27.36002792,0,0,normal
31-Mar-19,12:37:10,25,0,0,normal
31-Mar-19,12:37:11,33.59303881,1,0,normal
31-Mar-19,12:37:11,34.06638016,1,0,normal
31-Mar-19,12:37:11,31.29650506,0,0,normal
31-Mar-19,12:37:11,25,0,0,normal
31-Mar-19,12:37:11,31.118555,1,0,normal
31-Mar-19,12:37:12,34.59979256,1,0,normal
31-Mar-19,12:37:12,25.90217291,0,0,normal
31-Mar-19,12:37:12,25,0,0,normal
31-Mar-19,12:37:12,25.79362083,0,0,normal
31-Mar-19,12:37:13,34.84123469,0,0,normal
31-Mar-19,12:37:13,33.50838799,1,0,normal
31-Mar-19,12:37:13,25,0,0,normal
31-Mar-19,12:37:13,26.57561176,1,0,normal
31-Mar-19,12:37:14,27.27299262,0,0,normal
31-Mar-19,12:37:14,26.43941883,1,0,normal
31-Mar-19,12:37:14,33.54892551,0,0,normal
31-Mar-19,12:37:14,25,0,0,normal
31-Mar-19,12:37:14,32.35172017,1,0,normal
31-Mar-19,12:37:15,29.22147551,1,0,normal
31-Mar-19,12:37:16,27.32385426,1,0,normal
31-Mar-19,12:37:16,34.78729068,0,0,normal
31-Mar-19,12:37:16,25,0,0,normal
31-Mar-19,12:37:16,33.11478497,1,0,normal
31-Mar-19,12:37:16,33.72114867,1,0,normal
31-Mar-19,12:37:17,30.9059439,1,0,normal
31-Mar-19,12:37:17,34.13758717,0,0,normal
31-Mar-19,12:37:17,25,0,0,normal
31-Mar-19,12:37:17,31.03932654,1,0,normal
31-Mar-19,12:37:18,34.18337283,1,0,normal
31-Mar-19,12:37:18,25,0,0,normal
31-Mar-19,12:37:18,28.61495099,0,0,normal
31-Mar-19,12:37:18,25,0,0,normal
31-Mar-19,12:37:18,25,0,0,normal
31-Mar-19,12:37:19,34.48980104,1,0,normal
31-Mar-19,12:37:19,33.28534116,1,0,normal
31-Mar-19,12:37:19,29.53121807,0,0,normal
31-Mar-19,12:37:19,25,0,0,normal
31-Mar-19,12:37:19,26.45771349,1,0,normal
31-Mar-19,12:37:19,27.23371815,1,0,normal
31-Mar-19,12:37:19,26.23144605,1,0,normal
31-Mar-19,12:37:20,33.30569295,1,0,normal
31-Mar-19,12:37:20,25.56413889,0,0,normal
31-Mar-19,12:37:20,25,0,0,normal
31-Mar-19,12:37:21,32.3481475,1,0,normal
31-Mar-19,12:37:21,29.03989152,1,0,normal
31-Mar-19,12:37:21,27.10312037,1,0,normal
31-Mar-19,12:37:21,34.67576298,1,0,normal
31-Mar-19,12:37:21,30.35738437,0,0,normal
31-Mar-19,12:37:22,25,0,0,normal
31-Mar-19,12:37:22,32.92848159,1,0,normal
31-Mar-19,12:37:22,33.54343569,1,0,normal
31-Mar-19,12:37:22,30.57756073,1,0,normal
31-Mar-19,12:37:22,33.86601683,1,0,normal
31-Mar-19,12:37:22,25,0,0,normal
31-Mar-19,12:37:23,32.77938235,0,0,normal
31-Mar-19,12:37:23,30.62226464,1,0,normal
31-Mar-19,12:37:23,33.87457951,1,0,normal
31-Mar-19,12:37:23,31.85684217,0,0,normal
31-Mar-19,12:37:23,28.19665437,1,0,normal
31-Mar-19,12:37:24,27.80004519,0,0,normal
31-Mar-19,12:37:24,25,0,0,normal
31-Mar-19,12:37:24,29.06560313,0,0,normal
31-Mar-19,12:37:24,34.19595225,1,0,normal
31-Mar-19,12:37:24,32.99850097,1,0,normal
31-Mar-19,12:37:24,29.03363945,1,0,normal
31-Mar-19,12:37:25,31.02453568,0,0,normal
31-Mar-19,12:37:25,25,0,0,normal
31-Mar-19,12:37:25,26.36402788,1,0,normal
31-Mar-19,12:37:25,27.06860365,1,0,normal
31-Mar-19,12:37:26,25.85934751,1,0,normal
31-Mar-19,12:37:26,32.98221501,1,0,normal
31-Mar-19,12:37:26,25,0,0,normal
31-Mar-19,12:37:26,30.75217339,0,0,normal
31-Mar-19,12:37:26,25,0,0,normal
31-Mar-19,12:37:27,32.23108622,1,0,normal
31-Mar-19,12:37:27,28.67813719,1,0,normal
31-Mar-19,12:37:27,26.71569038,1,0,normal
31-Mar-19,12:37:27,34.28166242,1,0,normal
31-Mar-19,12:37:27,30.31527593,1,0,normal
31-Mar-19,12:37:27,32.48962941,0,0,normal
31-Mar-19,12:37:27,25,0,0,normal
31-Mar-19,12:37:27,32.43190464,1,0,normal
31-Mar-19,12:37:28,33.21059849,1,0,normal
31-Mar-19,12:37:28,30.46468435,1,0,normal
31-Mar-19,12:37:28,33.4201845,1,0,normal
31-Mar-19,12:37:28,33.83604837,0,0,normal
31-Mar-19,12:37:28,32.37019514,1,0,normal
31-Mar-19,12:37:28,25,0,0,normal
31-Mar-19,12:37:28,30.25170334,1,0,normal
31-Mar-19,12:37:29,33.58717397,1,0,normal
31-Mar-19,12:37:29,31.82660316,1,0,normal
31-Mar-19,12:37:29,27.85371689,1,0,normal
31-Mar-19,12:37:29,27.57394063,1,0,normal
31-Mar-19,12:37:29,26.5323239,0,0,normal
31-Mar-19,12:37:29,25,0,0,normal
31-Mar-19,12:37:30,28.92356465,1,0,normal
31-Mar-19,12:37:30,33.98151289,1,0,normal
31-Mar-19,12:37:30,32.71945441,1,0,normal
31-Mar-19,12:37:30,28.92149856,1,0,normal
31-Mar-19,12:37:30,30.80082818,1,0,normal
31-Mar-19,12:37:30,32.65389835,0,0,normal
31-Mar-19,12:37:31,25,0,0,normal
31-Mar-19,12:37:31,26.2506755,1,0,normal
31-Mar-19,12:37:31,27.04472007,1,0,normal
31-Mar-19,12:37:31,25,0,0,normal
31-Mar-19,12:37:31,32.54145477,1,0,normal
31-Mar-19,12:37:32,27.37412436,0,0,normal
31-Mar-19,12:37:32,30.75050817,1,0,normal
31-Mar-19,12:37:32,29.17707962,0,0,normal
31-Mar-19,12:37:32,25,0,0,normal
31-Mar-19,12:37:32,31.80135816,1,0,normal
31-Mar-19,12:37:32,28.5518226,1,0,normal
31-Mar-19,12:37:32,26.57765388,1,0,normal
31-Mar-19,12:37:32,34.22601604,1,0,normal
31-Mar-19,12:37:32,30.28474154,1,0,normal
31-Mar-19,12:37:33,32.35123085,1,0,normal
31-Mar-19,12:37:33,32.43618299,0,0,normal
31-Mar-19,12:37:33,25,0,0,normal
31-Mar-19,12:37:33,32.16375688,1,0,normal
31-Mar-19,12:37:33,32.74612131,1,0,normal
31-Mar-19,12:37:33,30.3715591,1,0,normal
31-Mar-19,12:37:33,33.30884547,1,0,normal
31-Mar-19,12:37:33,33.73729478,1,0,normal
31-Mar-19,12:37:33,32.05343318,1,0,normal
31-Mar-19,12:37:33,32.88250371,0,0,normal
31-Mar-19,12:37:33,25,0,0,normal
31-Mar-19,12:37:33,30.22797799,1,0,normal
31-Mar-19,12:37:34,33.34238402,1,0,normal
31-Mar-19,12:37:34,31.34658535,1,0,normal
31-Mar-19,12:37:34,27.40600866,1,0,normal
31-Mar-19,12:37:34,27.37613455,1,0,normal
31-Mar-19,12:37:34,26.38341775,1,0,normal
31-Mar-19,12:37:34,34.07418261,0,0,normal
31-Mar-19,12:37:35,25,0,0,normal
31-Mar-19,12:37:35,28.80437107,1,0,normal
31-Mar-19,12:37:35,33.86164205,1,0,normal
31-Mar-19,12:37:35,32.28516721,1,0,normal
31-Mar-19,12:37:36,28.59819093,1,0,normal
31-Mar-19,12:37:36,30.79225046,1,0,normal
31-Mar-19,12:37:36,32.4929493,1,0,normal
31-Mar-19,12:37:37,32.9410011,0,0,normal
31-Mar-19,12:37:37,25,0,0,normal
31-Mar-19,12:37:37,25.89991522,1,0,normal
31-Mar-19,12:37:37,26.60328712,1,0,normal
31-Mar-19,12:37:37,33.46925328,0,0,normal
31-Mar-19,12:37:37,32.51527403,1,0,normal
31-Mar-19,12:37:37,27.209596,1,0,normal
31-Mar-19,12:37:37,30.48713221,1,0,normal
31-Mar-19,12:37:38,29.05178017,1,0,normal
31-Mar-19,12:37:38,30.35312138,0,0,normal
31-Mar-19,12:37:38,25,0,0,normal
31-Mar-19,12:37:38,31.61580432,1,0,normal
31-Mar-19,12:37:38,28.34867266,1,0,normal
31-Mar-19,12:37:38,26.53845323,1,0,normal
31-Mar-19,12:37:38,33.9190703,1,0,normal
31-Mar-19,12:37:38,30.01161869,1,0,normal
31-Mar-19,12:37:38,32.19168466,1,0,normal
31-Mar-19,12:37:38,32.40327036,1,0,normal
31-Mar-19,12:37:38,28.82849054,0,0,normal
31-Mar-19,12:37:38,25,0,0,normal
31-Mar-19,12:37:39,32.02261636,1,0,normal
31-Mar-19,12:37:39,32.33904578,1,0,normal
31-Mar-19,12:37:39,30.0264879,1,0,normal
31-Mar-19,12:37:39,33.07235159,1,0,normal
31-Mar-19,12:37:39,33.63489719,1,0,normal
31-Mar-19,12:37:39,31.61017377,1,0,normal
31-Mar-19,12:37:39,32.44865465,1,0,normal
31-Mar-19,12:37:39,30.64332569,0,0,normal
31-Mar-19,12:37:40,25,0,0,normal
31-Mar-19,12:37:40,29.90898351,1,0,normal
31-Mar-19,12:37:40,33.19618392,1,0,normal
31-Mar-19,12:37:40,30.99836161,1,0,normal
31-Mar-19,12:37:40,27.14157717,1,0,normal
31-Mar-19,12:37:40,26.97458384,1,0,normal
31-Mar-19,12:37:40,25.8895741,1,0,normal
31-Mar-19,12:37:40,33.92476081,1,0,normal
31-Mar-19,12:37:40,30.19175443,0,0,normal
31-Mar-19,12:37:40,25,0,0,normal
31-Mar-19,12:37:41,28.54570087,1,0,normal
31-Mar-19,12:37:41,33.42265765,1,0,normal
31-Mar-19,12:37:41,31.79559763,1,0,normal
31-Mar-19,12:37:41,28.36959682,1,0,normal
31-Mar-19,12:37:41,30.33938953,1,0,normal
31-Mar-19,12:37:41,32.36819499,1,0,normal
31-Mar-19,12:37:41,32.59634134,1,0,normal
31-Mar-19,12:37:42,26.5880077,0,0,normal
31-Mar-19,12:37:42,25,0,0,normal
31-Mar-19,12:37:42,25,0,0,normal
31-Mar-19,12:37:42,26.40957178,1,0,normal
31-Mar-19,12:37:42,33.25809719,1,0,normal
31-Mar-19,12:37:42,32.20617706,1,0,normal
31-Mar-19,12:37:43,26.97714342,1,0,normal
31-Mar-19,12:37:43,30.17302487,1,0,normal
31-Mar-19,12:37:43,28.97131861,1,0,normal
31-Mar-19,12:37:43,30.12773671,1,0,normal
31-Mar-19,12:37:43,33.08130923,0,0,normal
31-Mar-19,12:37:43,25,0,0,normal
31-Mar-19,12:37:43,31.44809664,1,0,normal
31-Mar-19,12:37:43,28.03734382,1,0,normal
31-Mar-19,12:37:43,26.23247068,1,0,normal
31-Mar-19,12:37:43,33.63853225,1,0,normal
31-Mar-19,12:37:43,29.90641365,1,0,normal
31-Mar-19,12:37:43,32.04965653,1,0,normal
31-Mar-19,12:37:43,32.17187652,1,0,normal
31-Mar-19,12:37:44,28.42373474,1,0,normal
31-Mar-19,12:37:44,33.43217312,0,0,normal
31-Mar-19,12:37:44,25,0,0,normal
31-Mar-19,12:37:44,31.76969946,1,0,normal
31-Mar-19,12:37:44,31.89364794,1,0,normal
31-Mar-19,12:37:45,29.63746827,1,0,normal
31-Mar-19,12:37:45,32.87965433,1,0,normal
31-Mar-19,12:37:45,33.46986054,1,0,normal
31-Mar-19,12:37:45,31.25743183,1,0,normal
31-Mar-19,12:37:45,32.42611347,1,0,normal
31-Mar-19,12:37:45,30.50673555,1,0,normal
31-Mar-19,12:37:45,34.78445022,0,0,normal
31-Mar-19,12:37:45,25,0,0,normal
31-Mar-19,12:37:45,29.54937069,1,0,normal
31-Mar-19,12:37:46,32.99700354,1,0,normal
31-Mar-19,12:37:46,30.86591504,1,0,normal
31-Mar-19,12:37:46,26.96208503,1,0,normal
31-Mar-19,12:37:46,26.87852505,1,0,normal
31-Mar-19,12:37:46,25,0,0,normal
31-Mar-19,12:37:46,33.4406996,1,0,normal
31-Mar-19,12:37:46,30.13415669,1,0,normal
31-Mar-19,12:37:46,28.0616514,0,0,normal
31-Mar-19,12:37:46,25,0,0,normal
31-Mar-19,12:37:46,28.22454434,1,0,normal
31-Mar-19,12:37:46,33.26763812,1,0,normal
31-Mar-19,12:37:47,31.59578338,1,0,normal
31-Mar-19,12:37:47,28.20997505,1,0,normal
31-Mar-19,12:37:47,30.27944263,1,0,normal
31-Mar-19,12:37:47,32.08312632,1,0,normal
31-Mar-19,12:37:47,32.09679561,1,0,normal
31-Mar-19,12:37:47,26.1957759,1,0,normal
31-Mar-19,12:37:47,29.52671754,0,0,normal
31-Mar-19,12:37:47,25,0,0,normal
31-Mar-19,12:37:48,34.26907759,0,0,normal
31-Mar-19,12:37:48,25.93160407,1,0,normal
31-Mar-19,12:37:48,33.13346651,1,0,normal
31-Mar-19,12:37:48,31.94936173,1,0,normal
31-Mar-19,12:37:48,26.67939117,1,0,normal
31-Mar-19,12:37:48,30.03247362,1,0,normal
31-Mar-19,12:37:48,28.71397225,1,0,normal
31-Mar-19,12:37:48,30.10366566,1,0,normal
31-Mar-19,12:37:48,32.95245846,1,0,normal
31-Mar-19,12:37:48,34.03673509,0,0,normal
31-Mar-19,12:37:48,25,0,0,normal
31-Mar-19,12:37:48,31.05716081,1,0,normal
31-Mar-19,12:37:49,27.66305744,1,0,normal
31-Mar-19,12:37:49,25.8646763,1,0,normal
31-Mar-19,12:37:49,33.48004086,1,0,normal
31-Mar-19,12:37:49,29.73776548,1,0,normal
31-Mar-19,12:37:49,31.66359228,1,0,normal
31-Mar-19,12:37:50,31.9790729,1,0,normal
31-Mar-19,12:37:50,28.36209099,1,0,normal
31-Mar-19,12:37:50,32.98436641,1,0,normal
31-Mar-19,12:37:50,29.69692921,0,0,normal
31-Mar-19,12:37:50,25,0,0,normal
31-Mar-19,12:37:50,31.67972437,1,0,normal
31-Mar-19,12:37:50,31.4308873,1,0,normal
31-Mar-19,12:37:50,29.4229763,1,0,normal
31-Mar-19,12:37:50,32.73042282,1,0,normal
31-Mar-19,12:37:51,33.00448533,1,0,normal
31-Mar-19,12:37:51,31.06545544,1,0,normal
31-Mar-19,12:37:51,32.4225103,1,0,normal
31-Mar-19,12:37:51,30.47008272,1,0,normal
31-Mar-19,12:37:51,34.2948107,1,0,normal
31-Mar-19,12:37:51,32.46649038,0,0,normal
31-Mar-19,12:37:51,25,0,0,normal
31-Mar-19,12:37:51,29.31406158,1,0,normal
31-Mar-19,12:37:51,32.86945761,1,0,normal
31-Mar-19,12:37:52,30.80896441,1,0,normal
31-Mar-19,12:37:52,26.91914636,1,0,normal
31-Mar-19,12:37:52,26.75413097,1,0,normal
31-Mar-19,12:37:52,27.56783057,0,0,normal
31-Mar-19,12:37:52,33.10202781,1,0,normal
31-Mar-19,12:37:52,30.09318073,1,0,normal
31-Mar-19,12:37:52,27.65095028,1,0,normal
31-Mar-19,12:37:52,33.46977337,0,0,normal
31-Mar-19,12:37:52,25,0,0,normal
31-Mar-19,12:37:52,28.13600397,1,0,normal
31-Mar-19,12:37:52,33.26323906,1,0,normal
31-Mar-19,12:37:52,31.35896278,1,0,normal
31-Mar-19,12:37:52,28.11941454,1,0,normal
31-Mar-19,12:37:52,30.02500007,1,0,normal
31-Mar-19,12:37:52,31.73789957,1,0,normal
31-Mar-19,12:37:53,32.08707738,1,0,normal
31-Mar-19,12:37:53,25.71227397,1,0,normal
31-Mar-19,12:37:53,29.15986221,1,0,normal
31-Mar-19,12:37:53,28.74173267,0,0,normal
31-Mar-19,12:37:53,25,0,0,normal
31-Mar-19,12:37:53,33.87873034,1,0,normal
31-Mar-19,12:37:53,25,0,0,normal
31-Mar-19,12:37:53,32.85202546,1,0,normal
31-Mar-19,12:37:53,31.65100413,1,0,normal
31-Mar-19,12:37:53,26.60758189,1,0,normal
